583,623,13:23:55.006094
583,624,13:23:55.068592
1023,625,13:23:55.131090
1023,626,13:23:55.209213
1020,625,13:23:55.287335
583,624,13:23:55.349833
4,624,13:23:55.412331
5,624,13:23:55.474829
3,623,13:23:55.521703
50,625,13:23:55.599826
582,624,13:23:55.662324
1023,624,13:23:55.724821
1023,625,13:23:55.866505
583,624,13:23:55.944629
3,626,13:23:55.991500
2,262,13:23:56.053999
2,100,13:23:56.116498
2,627,13:23:56.178996
3,1022,13:23:56.241494
583,1023,13:23:56.303992
1023,1023,13:23:56.366489
1023,1013,13:23:56.448719
1023,12,13:23:56.511217
1023,6,13:23:56.573716
583,7,13:23:56.636214
2,8,13:23:56.698712
2,4,13:23:56.745584
362,11,13:23:56.819635
582,624,13:23:56.882134
583,623,13:23:57.428992
582,625,13:23:57.491489
583,624,13:23:57.714481
